 TIME                    	HPT_Power                	LPT_Power                	Cond_Heat                	Cond_TES_FGC_Heat        	FGC_Heat                 	TES_Heat                 	DeaPumps_Power           	CondPump_Power           	mdot_FUEL                	ToTES                    	
  +7.1470000000000000E+03	  +3.4653879724568851E+07	  +2.3174672580601837E+07	  +0.0000000000000000E+00	  +1.1156516969399999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7622637240018470E+06	  +5.7748002103272767E+04	  +1.1579769814791773E+02	  +0.0000000000000000E+00	
  +7.1480000000000000E+03	  +3.1812900509041965E+07	  +2.1294473527688913E+07	  +0.0000000000000000E+00	  +1.0337750422200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7610520459677700E+06	  +5.5161360189895662E+04	  +1.1600219708987750E+02	  +0.0000000000000000E+00	
  +7.1490000000000000E+03	  +3.0845047489779092E+07	  +2.0706118320363015E+07	  +0.0000000000000000E+00	  +1.0040902342199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7603405318712816E+06	  +5.4151127326034351E+04	  +1.1607436695052000E+02	  +0.0000000000000000E+00	
  +7.1500000000000000E+03	  +3.0858271565913126E+07	  +2.0728660503093250E+07	  +0.0000000000000000E+00	  +1.0013230198800001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7603349196762773E+06	  +5.4151127326034351E+04	  +1.1608460453208149E+02	  +0.0000000000000000E+00	
  +7.1510000000000000E+03	  +3.0856939089060549E+07	  +2.0754733252077341E+07	  +0.0000000000000000E+00	  +1.0010126624400000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7602759413508261E+06	  +5.4206960818296888E+04	  +1.1608327252947367E+02	  +0.0000000000000000E+00	
  +7.1520000000000000E+03	  +3.0332915690380085E+07	  +2.0434384599943265E+07	  +0.0000000000000000E+00	  +9.8854671869999990E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7600812698212699E+06	  +5.3702661652305629E+04	  +1.1608808520082225E+02	  +0.0000000000000000E+00	
  +7.1530000000000000E+03	  +2.9434660632951818E+07	  +1.9889146864320159E+07	  +0.0000000000000000E+00	  +9.6585892200000003E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7595251833195423E+06	  +5.2798194319845075E+04	  +1.1619971809779504E+02	  +0.0000000000000000E+00	
  +7.1540000000000000E+03	  +2.9097987112929840E+07	  +1.9730405612177514E+07	  +0.0000000000000000E+00	  +9.5486388318000004E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7593397273054491E+06	  +5.2448301573275799E+04	  +1.1621028430745051E+02	  +0.0000000000000000E+00	
  +7.1550000000000000E+03	  +2.9099176784692720E+07	  +1.9814955063932613E+07	  +0.0000000000000000E+00	  +9.5430929849999994E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7593397273054491E+06	  +5.2484608422729878E+04	  +1.1624503938968455E+02	  +0.0000000000000000E+00	
  +7.1560000000000000E+03	  +2.9063679917793088E+07	  +1.9864431671424188E+07	  +0.0000000000000000E+00	  +9.5477032206000000E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7592862844861378E+06	  +5.2455422713173095E+04	  +1.1624694702573171E+02	  +0.0000000000000000E+00	
  +7.1570000000000000E+03	  +3.1268691037558809E+07	  +2.1376630510130815E+07	  +0.0000000000000000E+00	  +1.0066184746200001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7602805303017637E+06	  +5.4410376031710839E+04	  +1.1606274416963258E+02	  +0.0000000000000000E+00	
  +7.1580000000000000E+03	  +3.7384784396785893E+07	  +2.5726055294766635E+07	  +0.0000000000000000E+00	  +1.1681486163000000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7633445906399605E+06	  +5.9957724379040214E+04	  +1.1562313518041030E+02	  +0.0000000000000000E+00	
  +7.1590000000000000E+03	  +4.5129766105549835E+07	  +3.1539378249128856E+07	  +0.0000000000000000E+00	  +1.3925876525999999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7664729512042606E+06	  +6.6167460797343228E+04	  +1.1527108502293602E+02	  +0.0000000000000000E+00	
  +7.1600000000000000E+03	  +5.1015229827107422E+07	  +3.5897438062256604E+07	  +0.0000000000000000E+00	  +1.5677950384800002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7680852110568504E+06	  +6.9880941441038362E+04	  +1.1504426211154676E+02	  +0.0000000000000000E+00	
  +7.1610000000000000E+03	  +5.2876748231033832E+07	  +3.7558300083494112E+07	  +0.0000000000000000E+00	  +1.6272427546799999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687874873344153E+06	  +7.1031382628097999E+04	  +1.1499736660914161E+02	  +0.0000000000000000E+00	
  +7.1620000000000000E+03	  +5.2839269584333934E+07	  +3.8150198470628127E+07	  +0.0000000000000000E+00	  +1.6286769759599999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687874873344153E+06	  +7.1004793797656777E+04	  +1.1499507451781420E+02	  +0.0000000000000000E+00	
  +7.1630000000000000E+03	  +5.2787256664796934E+07	  +3.8845926764809102E+07	  +0.0000000000000000E+00	  +1.6282478113200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7688286673384907E+06	  +7.0880611651591928E+04	  +1.1499951595657595E+02	  +0.0000000000000000E+00	
  +7.1640000000000000E+03	  +5.2780737504709646E+07	  +3.9634624543440171E+07	  +0.0000000000000000E+00	  +1.6242297906600001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7688102296013280E+06	  +7.0743419704326720E+04	  +1.1500303214610015E+02	  +0.0000000000000000E+00	
  +7.1650000000000000E+03	  +5.2752555435691819E+07	  +3.9997318275337696E+07	  +0.0000000000000000E+00	  +1.6236495363599998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687804474739318E+06	  +7.0656708092527944E+04	  +1.1500526083838726E+02	  +0.0000000000000000E+00	
  +7.1660000000000000E+03	  +5.2745170501641616E+07	  +3.9934941111901149E+07	  +0.0000000000000000E+00	  +1.6235769265200004E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687739092110984E+06	  +7.0661159707545114E+04	  +1.1500847752914427E+02	  +0.0000000000000000E+00	
  +7.1670000000000000E+03	  +5.2753121313624963E+07	  +3.9865863318774939E+07	  +0.0000000000000000E+00	  +1.6217409670200002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687593192675246E+06	  +7.0651855503834478E+04	  +1.1501168180893012E+02	  +0.0000000000000000E+00	
  +7.1680000000000000E+03	  +5.2919903912377864E+07	  +3.9640488660157770E+07	  +0.0000000000000000E+00	  +1.6175568731400001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687294705234845E+06	  +7.0539827807862021E+04	  +1.1501184653089462E+02	  +0.0000000000000000E+00	
  +7.1690000000000000E+03	  +5.2978328212560564E+07	  +3.9386317536789238E+07	  +0.0000000000000000E+00	  +1.6158074677199998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687287569816271E+06	  +7.0659491804802048E+04	  +1.1500829485247773E+02	  +0.0000000000000000E+00	
  +7.1700000000000000E+03	  +5.2945635680767342E+07	  +3.9240133354700327E+07	  +0.0000000000000000E+00	  +1.6166544073199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7687738538151463E+06	  +7.0734134329088556E+04	  +1.1500756684804021E+02	  +0.0000000000000000E+00	
  +7.1710000000000000E+03	  +5.0787662901619196E+07	  +3.7618461632142037E+07	  +0.0000000000000000E+00	  +1.5594946768799999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7682476872395771E+06	  +6.9460222359316424E+04	  +1.1507112735459118E+02	  +0.0000000000000000E+00	
  +7.1720000000000000E+03	  +4.3693303798749797E+07	  +3.2169150324894309E+07	  +0.0000000000000000E+00	  +1.3635573546600002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7660771352520150E+06	  +6.4700724091220320E+04	  +1.1530894530641868E+02	  +0.0000000000000000E+00	
  +7.1730000000000000E+03	  +3.7780917253433555E+07	  +2.7472724206527971E+07	  +0.0000000000000000E+00	  +1.1889725529600000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7637047294312525E+06	  +5.9935708621867976E+04	  +1.1558744065413939E+02	  +0.0000000000000000E+00	
  +7.1740000000000000E+03	  +3.5587630534613498E+07	  +2.5816617085310347E+07	  +0.0000000000000000E+00	  +1.1254611243599999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7625343051810171E+06	  +5.8002081221298002E+04	  +1.1570883429951998E+02	  +0.0000000000000000E+00	
  +7.1750000000000000E+03	  +3.3797101640430219E+07	  +2.4583825915956378E+07	  +0.0000000000000000E+00	  +1.0837713571200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7616620867822848E+06	  +5.6378902082890214E+04	  +1.1584904134282128E+02	  +0.0000000000000000E+00	
  +7.1760000000000000E+03	  +3.1708731740238421E+07	  +2.3132131040560063E+07	  +0.0000000000000000E+00	  +1.0348596525600000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7607402419724823E+06	  +5.4377546535403351E+04	  +1.1601225873678943E+02	  +0.0000000000000000E+00	
  +7.1770000000000000E+03	  +3.0284888307816528E+07	  +2.2146344169867776E+07	  +0.0000000000000000E+00	  +9.9671051195999995E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7597818125153040E+06	  +5.3040439358278032E+04	  +1.1614348097087162E+02	  +0.0000000000000000E+00	
  +7.1780000000000000E+03	  +3.0244515137240030E+07	  +2.2068079282745428E+07	  +0.0000000000000000E+00	  +9.9351346733999997E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7597818125153040E+06	  +5.3024827469395437E+04	  +1.1615841213176991E+02	  +0.0000000000000000E+00	
  +7.1790000000000000E+03	  +3.0093727022864476E+07	  +2.1966379572689928E+07	  +0.0000000000000000E+00	  +9.9042811379999995E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7598536981804252E+06	  +5.3031483780550217E+04	  +1.1615769600686181E+02	  +0.0000000000000000E+00	
  +7.1800000000000000E+03	  +3.0059549212959893E+07	  +2.1896827188503727E+07	  +0.0000000000000000E+00	  +9.8565854003999993E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7598775818549562E+06	  +5.2908055322653971E+04	  +1.1617418422033654E+02	  +0.0000000000000000E+00	
  +7.1810000000000000E+03	  +3.2899808504860364E+07	  +2.3854033519443929E+07	  +0.0000000000000000E+00	  +1.0574093550600001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7612920176456319E+06	  +5.5606049918272700E+04	  +1.1594248233403570E+02	  +0.0000000000000000E+00	
  +7.1820000000000000E+03	  +3.9748331812833987E+07	  +2.8996961551286608E+07	  +0.0000000000000000E+00	  +1.2518518408199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7643458828669372E+06	  +6.1605777938497340E+04	  +1.1551609806771410E+02	  +0.0000000000000000E+00	
  +7.1830000000000000E+03	  +4.5850500407388002E+07	  +3.3881792292306587E+07	  +0.0000000000000000E+00	  +1.4363909472600001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7666867945121157E+06	  +6.6248045645960345E+04	  +1.1524823985961142E+02	  +0.0000000000000000E+00	
  +7.1840000000000000E+03	  +4.8979442018423438E+07	  +3.6563940411010951E+07	  +0.0000000000000000E+00	  +1.5301475766000000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7677811933460042E+06	  +6.8372334483997940E+04	  +1.1515993061993920E+02	  +0.0000000000000000E+00	
  +7.1850000000000000E+03	  +4.9962790680256978E+07	  +3.7776113581571981E+07	  +0.0000000000000000E+00	  +1.5613229658600003E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7679762143987354E+06	  +6.8889174296243000E+04	  +1.1512714660258135E+02	  +0.0000000000000000E+00	
  +7.1860000000000000E+03	  +4.9918064911838353E+07	  +3.8261987148022473E+07	  +0.0000000000000000E+00	  +1.5615281676600000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7679762143987354E+06	  +6.8888396846089410E+04	  +1.1509330300853020E+02	  +0.0000000000000000E+00	
  +7.1870000000000000E+03	  +4.9765042433357447E+07	  +3.8138505001070485E+07	  +0.0000000000000000E+00	  +1.5535831014000002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7680042915963859E+06	  +6.8877440533388028E+04	  +1.1509538929219782E+02	  +0.0000000000000000E+00	
  +7.1880000000000000E+03	  +4.9647125554500863E+07	  +3.7967419768031895E+07	  +0.0000000000000000E+00	  +1.5436705604399997E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7680004056096864E+06	  +6.8815085325122665E+04	  +1.1510205038085749E+02	  +0.0000000000000000E+00	
  +7.1890000000000000E+03	  +4.9621817720493279E+07	  +3.8148982049336821E+07	  +0.0000000000000000E+00	  +1.5413137876800001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7679276332274163E+06	  +6.8727086486014610E+04	  +1.1510522809691659E+02	  +0.0000000000000000E+00	
  +7.1900000000000000E+03	  +4.9615407714156449E+07	  +3.7829175168377504E+07	  +0.0000000000000000E+00	  +1.5415115383800000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678976798714760E+06	  +6.8702756103584892E+04	  +1.1510667375283703E+02	  +0.0000000000000000E+00	
  +7.1910000000000000E+03	  +4.9599918200518049E+07	  +3.7194128275118165E+07	  +0.0000000000000000E+00	  +1.5414698559600002E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678970160741862E+06	  +6.8706475466480973E+04	  +1.1510768500674909E+02	  +0.0000000000000000E+00	
  +7.1920000000000000E+03	  +4.9591525952427253E+07	  +3.6555044246779926E+07	  +0.0000000000000000E+00	  +1.5404124216599998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678836766502792E+06	  +6.8740131643589804E+04	  +1.1510750148744862E+02	  +0.0000000000000000E+00	
  +7.1930000000000000E+03	  +4.9584722799061581E+07	  +3.6001126360838726E+07	  +0.0000000000000000E+00	  +1.5399205815599999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678880284232746E+06	  +6.8828359097719658E+04	  +1.1510692787431555E+02	  +0.0000000000000000E+00	
  +7.1940000000000000E+03	  +4.9570934218282297E+07	  +3.5527900103725910E+07	  +0.0000000000000000E+00	  +1.5400802003399998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678902904066851E+06	  +6.8894686292139915E+04	  +1.1510621491080916E+02	  +0.0000000000000000E+00	
  +7.1950000000000000E+03	  +4.9520073160648391E+07	  +3.5350938330547079E+07	  +0.0000000000000000E+00	  +1.5381533145600000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7678911943635656E+06	  +6.8912137546017824E+04	  +1.1510445653932965E+02	  +0.0000000000000000E+00	
  +7.1960000000000000E+03	  +4.7818899727150761E+07	  +3.3947591853271611E+07	  +0.0000000000000000E+00	  +1.4839797517199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7674337915579427E+06	  +6.7896601007074249E+04	  +1.1516005296238551E+02	  +0.0000000000000000E+00	
  +7.1970000000000000E+03	  +4.3215419585180320E+07	  +3.0298741023838658E+07	  +0.0000000000000000E+00	  +1.3436621303399998E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7661682879484149E+06	  +6.4608191443229422E+04	  +1.1534129133421511E+02	  +0.0000000000000000E+00	
  +7.1980000000000000E+03	  +3.6057341583166018E+07	  +2.4842516292039886E+07	  +0.0000000000000000E+00	  +1.1449540728000000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7628213331140124E+06	  +5.8766651934835565E+04	  +1.1572312667992038E+02	  +0.0000000000000000E+00	
  +7.1990000000000000E+03	  +2.9015608856958091E+07	  +1.9982879662198283E+07	  +0.0000000000000000E+00	  +9.5838649722000003E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7595547879650402E+06	  +5.2128081993956926E+04	  +1.1623737727295547E+02	  +0.0000000000000000E+00	
  +7.2000000000000000E+03	  +2.5249858785645068E+07	  +1.7433638459838390E+07	  +0.0000000000000000E+00	  +8.5668788052000001E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7564327041008528E+06	  +4.8166370420814310E+04	  +1.1663641809391345E+02	  +0.0000000000000000E+00	
  +7.2010000000000000E+03	  +2.3666175850993827E+07	  +1.6283739344060600E+07	  +0.0000000000000000E+00	  +8.1537939539999992E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7558219336075529E+06	  +4.6490379358029590E+04	  +1.1683733638949289E+02	  +0.0000000000000000E+00	
  +7.2020000000000000E+03	  +2.3050631573495481E+07	  +1.5814409445310976E+07	  +0.0000000000000000E+00	  +8.0131042547999993E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7551676353956165E+06	  +4.5794853451954426E+04	  +1.1690557876598633E+02	  +0.0000000000000000E+00	
