Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/09  17:00:00;-5.991666667;3240000;20.0398053;456.5947747;0.005270255;55;22.9134492;688.5607569;23.74041748;55;0.005270255;2478818.725
 01/09  18:00:00;-6.491666667;1800000;20.07134736;820.1133673;0.009734521;55;23.75942789;1272.376782;23.72665352;55;0.009734521;4580556.416
 01/09  19:00:00;-6.991666667;1080000;20.08301411;977.0056505;0.011733829;55;24.05987548;1531.96383;23.76199057;55;0.011733829;5515069.787
 01/09  20:00:00;-7.55;1080000;20.08225479;984.9605185;0.011844902;55;24.07637615;1543.855016;23.81436762;55;0.011844902;5557878.057
 01/09  21:00:00;-8.091666667;720000;20.09097382;1089.914648;0.013189166;55;24.25670196;1715.528941;23.87844523;55;0.013189166;6175904.188
 01/09  22:00:00;-8.65;720000;20.09170429;1099.060717;0.013308782;55;24.27340051;1727.137375;23.94913513;55;0.013308782;6217694.55
 01/09  23:00:00;-9.308333333;360000;20.10042145;1204.4654;0.014670134;55;24.4428413;1898.925842;24.02858216;55;0.014670134;6836133.033
 01/09  24:00:00;-10.06666667;180000;20.10368691;1259.481029;0.015390683;55;24.52818261;1986.283721;24.12013334;55;0.015390683;7150621.394
 01/10  01:00:00;-10.80833333;180000;20.10478965;1268.234138;0.015504603;55;24.5424286;1995.363372;24.20659883;55;0.015504603;7183308.138
 01/10  02:00:00;-11.275;180000;20.10653702;1287.354604;0.015749533;55;24.57133712;2021.82279;24.28331066;55;0.015749533;7278562.044
 01/10  03:00:00;-11.63333333;180000;20.10783971;1305.148699;0.015977374;55;24.59699475;2046.447178;24.35236826;55;0.015977374;7367209.842
 01/10  04:00:00;-11.975;180000;20.10984474;1328.478026;0.016279264;55;24.63134025;2080.815041;24.41533507;55;0.016279264;7490934.148
