 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +2.0750000000000000E+01	  +2.9338339822117966E+01	  +2.6058877360867029E+01	  +7.7295087758420152E+01	  +9.3126611757132707E+01	  +3.1503712277893431E-01	  +2.7982202798085953E-01	  +2.9056009716572290E-01	
  +2.0875000000000000E+01	  +2.8713806609797196E+01	  +2.8971705873220163E+01	  +7.7847908446607221E+01	  +9.3792660779044837E+01	  +3.0614129475909307E-01	  +3.0889096900098845E-01	  +3.1955278402674808E-01	
  +2.1000000000000000E+01	  +2.9338395213686614E+01	  +2.6058926814510187E+01	  +7.7295029122828453E+01	  +9.3126541111841505E+01	  +3.1503795656334205E-01	  +2.7982277128938343E-01	  +2.9056084862008807E-01	
  +2.1125000000000000E+01	  +2.8713797900310205E+01	  +2.8942864936564416E+01	  +7.7847887998046673E+01	  +9.3792636142224893E+01	  +3.0614128231526933E-01	  +3.0858355332582987E-01	  +3.1924537115216356E-01	
  +2.1250000000000000E+01	  +2.9338442045917951E+01	  +2.6058968565704017E+01	  +7.7294971416425653E+01	  +9.3126471586054990E+01	  +3.1503869465093282E-01	  +2.7982342852562403E-01	  +2.9056151387309620E-01	
  +2.1375000000000000E+01	  +2.8713792345121004E+01	  +2.8914039380938100E+01	  +7.7847867662685104E+01	  +9.3792611641789279E+01	  +3.0614130305683457E-01	  +3.0827630103068221E-01	  +3.1893812164208790E-01	
  +2.1500000000000000E+01	  +2.9338471787877836E+01	  +2.6058994935633557E+01	  +7.7294913714144087E+01	  +9.3126402065233833E+01	  +3.1503924920589776E-01	  +2.7982392058247424E-01	  +2.9056201394615333E-01	
  +2.1625000000000000E+01	  +2.8713804035522401E+01	  +2.8885240643243584E+01	  +7.7847847220361913E+01	  +9.3792587012484219E+01	  +3.0614150808848534E-01	  +3.0796933492621148E-01	  +3.1863115833733985E-01	
  +2.1750000000000000E+01	  +2.9338536943804204E+01	  +2.6059053178052320E+01	  +7.7294856018429812E+01	  +9.3126332552325067E+01	  +3.1504018401368600E-01	  +2.7982475486630454E-01	  +2.9056285624529021E-01	
  +2.1875000000000000E+01	  +2.8713799107764519E+01	  +2.8856440974584878E+01	  +7.7847826703567492E+01	  +9.3792562293454807E+01	  +3.0614153623318036E-01	  +3.0766235902906541E-01	  +3.1832418525011735E-01	
  +2.2000000000000000E+01	  +2.9338589781880270E+01	  +2.6059100334629349E+01	  +7.7294798294119303E+01	  +9.3126263004963008E+01	  +3.1504098666899927E-01	  +2.7982547021392423E-01	  +2.9056357961220114E-01	
  +2.2125000000000000E+01	  +2.8713792208316733E+01	  +2.8834437506198068E+01	  +7.7847811156175354E+01	  +9.3792543561657041E+01	  +3.0614152381357429E-01	  +3.0742782327086565E-01	  +3.1808965162124642E-01	
  +2.2250000000000000E+01	  +2.9338584176205529E+01	  +2.6059095173110137E+01	  +7.7294781413656722E+01	  +9.3126242667056289E+01	  +3.1504099527666385E-01	  +2.7982547590023865E-01	  +2.9056358764361895E-01	
  +2.2375000000000000E+01	  +2.8713792220314065E+01	  +2.8832808591425913E+01	  +7.7847810001335631E+01	  +9.3792542170283880E+01	  +3.0614152848296933E-01	  +3.0741046062147315E-01	  +3.1807228913001773E-01	
  +2.2500000000000000E+01	  +2.9338606524215539E+01	  +2.6059115263666634E+01	  +7.7294778085777452E+01	  +9.3126238657563192E+01	  +3.1504124881599976E-01	  +2.7982570368260284E-01	  +2.9056381588830599E-01	
  +2.2625000000000000E+01	  +2.8713792175034612E+01	  +2.8831179484482071E+01	  +7.7847808860309996E+01	  +9.3792540795554203E+01	  +3.0614153248736448E-01	  +3.0739309586811703E-01	  +3.1805492453293344E-01	
  +2.2750000000000000E+01	  +2.9338606017949079E+01	  +2.6059114785659951E+01	  +7.7294774796875913E+01	  +9.3126234695031215E+01	  +3.1504125678469475E-01	  +2.7982571045632904E-01	  +2.9056382311894008E-01	
