,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-04 04:00:00,0.0,17.80619311773238,17.74734780517091,5.9007114e-316,9.89508707e-316,22.0,22.0,81.82,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-04 05:00:00,0.0,17.69070967083854,17.63392931381519,5.90070585e-316,9.89508707e-316,22.0,22.0,82.53999999999999,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-04 06:00:00,52275.07424256923,21.77970371786065,21.52748450534779,1460.702849309273,1426.310751319211,22.0,22.0,83.25999999999999,0.0,14.307897453623442,507.0,16002.157079999984,-1.0,507.0
2000-01-04 07:00:00,59551.17558097041,21.97662779838532,21.84014931147875,1717.299726821575,1769.826189658491,20.0,20.0,83.98,0.0,86.86808307431642,507.0,0.0,1.0,0.0
2000-01-04 08:00:00,55390.78600532015,22.10789468535018,22.11134301551997,1552.739795263859,1611.169052440162,20.0,20.0,84.52,0.0,45.37901828194615,507.0,19058.27196000001,1.0,507.0
2000-01-04 09:00:00,59112.16226187327,19.95757311981431,19.75391168231474,1645.083771441992,1567.805121073215,20.0,20.0,85.24,0.0,82.49006709534301,507.0,20204.315039999994,1.0,507.0
2000-01-04 10:00:00,56589.451512481,20.09824179205841,20.00536444315177,1750.861426707341,1529.389893345359,20.0,20.0,85.78,0.0,57.33258897193963,507.0,21732.37247999999,-1.0,507.0
2000-01-04 11:00:00,47431.785064091906,20.08146006419993,20.08387027133866,1349.810666901307,1372.044872775619,20.0,20.0,86.32,33.99131464693665,0.0,473.00868535306336,0.0,-1.0,0.0
2000-01-04 12:00:00,49875.288055279496,20.07812597136642,20.07992333287454,1404.368564318944,1415.357153196769,20.0,20.0,86.68,9.623727890979055,0.0,497.37627210902093,0.0,-1.0,0.0
2000-01-04 13:00:00,50608.260400664025,20.07837686443405,20.07662156069852,1425.800297481484,1447.110087272836,20.0,20.0,87.22,2.3142352163040427,0.0,504.6857647836959,0.0,-1.0,0.0
2000-01-04 14:00:00,55173.59667687472,20.08323524343957,20.08350273218704,1575.328147945323,1603.512550515777,20.0,20.0,88.30000000000001,0.0,43.213119642678954,507.0,0.0,-1.0,0.0
2000-01-04 15:00:00,62168.73460777522,20.08618610779837,20.0901486385163,1666.836877622934,1695.881750859554,20.0,20.0,89.56,0.0,112.97142606329129,507.0,0.0,-1.0,0.0
2000-01-04 16:00:00,63939.61180652046,20.09114385538779,20.09099084478459,1751.917441984575,1774.422764990374,20.0,20.0,90.64,0.0,130.6313200467156,507.0,0.0,-1.0,0.0
2000-01-04 17:00:00,64748.87820922732,20.08966274384548,20.09387017901778,1753.502357272396,1770.4602438214,20.0,20.0,91.17999999999999,0.0,138.70164750225297,507.0,0.0,-1.0,0.0
2000-01-04 18:00:00,54485.96752766216,20.08373903342604,20.08037299907869,1540.654112267536,1542.012651026236,20.0,20.0,91.9,0.0,36.355807411199834,507.0,0.0,-1.0,0.0
2000-01-04 19:00:00,22517.233112621736,20.52130548577363,20.43327387565762,614.0497721644854,668.6217882011543,20.0,20.0,92.44,282.44916730400377,0.0,224.55083269599623,0.0,1.0,0.0
2000-01-04 20:00:00,26388.14733560029,20.64271643696389,20.73126448234166,618.2013715870528,848.7811860502632,20.0,20.0,92.62,243.8468662257061,0.0,263.15313377429396,19211.18927355715,1.0,263.15313377429396
2000-01-04 21:00:00,0.0,19.00574169658166,19.29397591951871,5.90070664e-316,9.89508707e-316,20.0,20.0,92.97999999999999,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-04 22:00:00,0.0,18.73889857252012,18.9004388598381,5.90071296e-316,9.89508786e-316,21.0,21.0,93.16,506.99999999999994,0.0,0.0,0.0,1.0,0.0
2000-01-04 23:00:00,0.0,18.26934853708546,18.45615586792148,5.90071296e-316,9.89508707e-316,22.0,22.0,93.16,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-05 00:00:00,0.0,17.96370251048898,18.00408981569068,5.90071375e-316,9.89508707e-316,22.0,22.0,93.33999999999999,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-05 01:00:00,0.0,17.46124860947856,17.52403872003831,5.90070743e-316,9.895076e-316,22.0,22.0,93.33999999999999,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-05 02:00:00,0.0,17.30851164916298,17.3693504430423,5.9007098e-316,9.89508786e-316,22.0,22.0,93.52,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-05 03:00:00,0.0,17.2068708855845,17.25803001302836,5.90070585e-316,9.89508707e-316,22.0,22.0,93.69999999999999,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-05 04:00:00,0.0,17.08573182826743,17.13367422052636,5.90070743e-316,9.89508707e-316,22.0,22.0,93.88,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-05 05:00:00,0.0,16.97633147785002,17.02317238877518,5.90070585e-316,9.89508707e-316,22.0,22.0,93.52,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-05 06:00:00,60430.278056879426,21.3470035524642,21.26866855936873,1706.325909967242,1704.153495569926,22.0,22.0,93.33999999999999,0.0,95.63484371510839,507.0,39305.033039999995,-1.0,507.0
2000-01-05 07:00:00,65876.8278356305,21.61873711408237,21.3430341220927,1995.814959142286,1833.673604565285,20.0,20.0,92.97999999999999,0.0,149.95001121426273,507.0,0.0,1.0,0.0
2000-01-05 08:00:00,64032.74304661863,22.00060960945035,21.89577091015851,1778.961596816852,1735.934191949348,20.0,20.0,92.44,0.0,131.5600619317317,507.0,38158.98995999998,1.0,507.0
2000-01-05 09:00:00,65188.02521581041,19.6368035314459,19.3325172308068,1848.269396755896,1678.362026797085,20.0,20.0,92.08,0.0,143.08099666607262,507.0,37012.946879999996,1.0,507.0
2000-01-05 10:00:00,69937.92199003151,19.78486820790199,19.415813297007,1977.786084050603,1824.161732240337,20.0,20.0,91.53999999999999,0.0,190.4488624483936,507.0,36248.91816,-1.0,507.0
2000-01-05 11:00:00,63421.760414065175,20.01258576207588,19.94087728987397,1716.538572817215,1742.359211790132,20.0,20.0,90.82000000000001,0.0,125.46709934523822,507.0,0.0,-1.0,0.0
2000-01-05 12:00:00,61073.721844020154,20.09414100575042,20.09811935949184,1657.730130464841,1676.550831340139,20.0,20.0,89.92,0.0,102.05152188630818,507.0,0.0,-1.0,0.0
2000-01-05 13:00:00,56345.18722077723,20.08872151353507,20.09074277104394,1605.832219747902,1628.130823588097,20.0,20.0,89.2,0.0,54.89668799643602,507.0,0.0,-1.0,0.0
2000-01-05 14:00:00,60527.21609310644,20.09334045113302,20.09939376012494,1749.862478136389,1776.808175465773,20.0,20.0,89.92,0.0,96.60154848949712,507.0,0.0,-1.0,0.0
2000-01-05 15:00:00,64599.911173747365,20.09447807178458,20.06503625365935,1818.832354807593,1816.427241762927,20.0,20.0,90.82000000000001,0.0,137.21608878802198,507.0,0.0,-1.0,0.0
2000-01-05 16:00:00,64059.93324745322,20.0991549125911,19.97643692822521,1867.250737212204,1802.838622890856,20.0,20.0,91.53999999999999,0.0,131.83121346258295,507.0,0.0,-1.0,0.0
2000-01-05 17:00:00,63223.96606128765,20.09819458813657,19.94584443765861,1855.217887921447,1796.396798307754,20.0,20.0,92.08,0.0,123.49461514198808,507.0,0.0,-1.0,0.0
2000-01-05 18:00:00,57944.075167314346,20.08812339753476,20.08819115019709,1614.940803994926,1651.873790069955,20.0,20.0,92.44,0.0,70.8414365357934,507.0,0.0,-1.0,0.0
2000-01-05 19:00:00,27992.703999396494,20.42368349181145,20.5959566610954,725.1912427915505,825.5433433735201,20.0,20.0,92.97999999999999,227.84558697609415,0.0,279.1544130239059,0.0,1.0,0.0
2000-01-05 20:00:00,28289.12515572109,20.78666261553835,20.75646000735555,918.5194907773935,746.7920902883233,20.0,20.0,91.9,224.88955693703096,0.0,282.11044306296907,21232.83937761535,1.0,282.11044306296907
2000-01-05 21:00:00,0.0,19.32415669011087,19.00680719972205,5.900709e-316,9.89508707e-316,20.0,20.0,90.64,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-05 22:00:00,0.0,18.99668259881931,18.7978542313828,5.90070506e-316,9.895076e-316,21.0,21.0,89.56,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-05 23:00:00,0.0,18.58837488928844,18.3741274450334,5.90070664e-316,9.89509577e-316,22.0,22.0,88.48,507.00000000000006,0.0,0.0,0.0,1.0,0.0
