 TIME                    ,CSP_load_factor          ,HT_Level                 ,Global_Radiation         ,dtSim                    ,ct_fr                    ,DNI                      ,FILL_FREQ                ,EMP_FREQ                 ,PowerCSP                 ,PowerPV                  ,Ptotal                   ,AC_Crtld                 ,PVnet_to_grid            ,DC_curtailed             ,cleanCSP                 ,LOAD                     ,
  +4.2000000000000000E+01,  +9.7269499999999998E-01,  +5.2866735660749453E-01,  +9.4333999999999996E-01,  +1.0000000000000000E+00,  +1.8337733456732869E+08,  +1.7100000000000000E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.8288331622654323E+02,  +0.0000000000000000E+00,  +1.8288331622654323E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.3000000000000000E+01,  +1.0000000000000000E+00,  +4.7151386441304544E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9770464912438467E+02,  +0.0000000000000000E+00,  +1.9770464912438467E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.4000000000000000E+01,  +1.0000000000000000E+00,  +4.0870256721025722E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9802825943508205E+02,  +0.0000000000000000E+00,  +1.9802825943508205E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.5000000000000000E+01,  +1.0000000000000000E+00,  +3.4545481746738022E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9958676125949111E+02,  +0.0000000000000000E+00,  +1.9958676125949111E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.6000000000000000E+01,  +1.0000000000000000E+00,  +2.8187144281485288E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.9983515717416526E+02,  +0.0000000000000000E+00,  +1.9983515717416526E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.7000000000000000E+01,  +1.0000000000000000E+00,  +2.1822552982796808E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0009389850177013E+02,  +0.0000000000000000E+00,  +2.0009389850177013E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.8000000000000000E+01,  +1.0000000000000000E+00,  +1.5457591663643325E-01,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0018346293688279E+02,  +0.0000000000000000E+00,  +2.0018346293688279E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.9000000000000000E+01,  +1.0000000000000000E+00,  +9.0973234450152873E-02,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0032789823028901E+02,  +0.0000000000000000E+00,  +2.0032789823028901E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +5.0000000000000000E+01,  +1.0000000000000000E+00,  +3.0093717566365436E-02,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +1.1657452965576863E+02,  +0.0000000000000000E+00,  +1.1657452965576863E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +5.1000000000000000E+01,  +1.0000000000000000E+00,  +1.0010010010010001E-03,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
